specimen_id,species,position,form,color,staining,remainingpercent,condition,
30277,Amanita bisporigera,superior,submembranous,white,no,na,na,
30278,,na,na,na,na,na,na,
30279,,na,pulverulent,na,na,na,na,
30280,Amanita populiphila,na,na,na,na,na,na,
30280_2,Amanita populiphila,na,na,na,na,na,na,
30280_3,Amanita populiphila,na,na,na,na,na,na,
30280_4,Amanita populiphila,na,na,na,na,na,na,
30280_5,Amanita populiphila,na,na,na,na,na,na,
30280_6,Amanita populiphila,na,na,na,na,na,na,
30280_7,Amanita populiphila,na,na,na,na,na,na,
30281,Amanita sp 44,na,na,na,na,na,na,
30282,Amanita sp 44,na,na,na,na,na,na,
30283,,superior,membranous,yellow,no,75,free,
30284,Amanita suballiacea,superior,membranous,white,no,100,free,
30285,Amanita sp 44,na,na,na,na,na,na,
30286,Amanita porphyria,superior,membranous,grey,no,100,free,
30287,,superior,submembranous,yellow tint,no,25,collapsed,
30291,,na,na,na,na,na,na,
30293,Amanita porphyria,superior,membranous,grey,no,100,free,
40220,,superior,submembranous,yellow,no,75,free,
